,Интент,Текст,Число,Размерность,Определённость,Нет ответа
0,diag,5.8,5.8,-,,1
1,diag,"Не знаю, но бывает и больше",-,-,,0
2,diag,6,6.0,-,,1
3,diag,Диагональ экрана 5.7 дюйма,5.7,дюйма,,1
4,diag,Не помню точно. Выше среднего.,-,-,,0
5,diag,не могу знать,-,-,,0
6,diag,"6,3",6.3,-,,1
7,diag,Не помню,-,-,,0
8,diag,Между 4 и 5 дюймами,5.0,и,,1
9,diag,4 дюйма,4.0,дюйма,,1
10,diag,6,6.0,-,,1
11,diag,6.3,6.3,-,,1
12,diag,Не знаю,-,-,,0
13,diag,"4,7",4.7,-,,1
14,diag,"5,8 ",5.8,-,,1
15,diag,не помню)),-,-,,0
16,diag,"5,5 дюймов",5.5,-,,1
17,diag,"У моего телефона диагональ 6,46 дюймов",6.46,-,,1
18,diag,"Ну, приблизительно равная длине моей ладони, а это около 18 см",18.0,см,,1
19,cam,12,12.0,-,,1
20,cam,"Не уверен, но снимает неплохо",-,-,,0
21,cam,48,48.0,-,,1
22,cam,Вроде-бы 16,16.0,-,,1
23,cam,Порядка 11 Мп,11.0,Мп,,1
24,cam,не могу знать,-,-,,0
25,cam,48 основная камера ,48.0,основная,,1
26,cam,12,12.0,-,,1
27,cam,Не знаю,-,-,,0
28,cam,12,12.0,-,,1
29,cam,"знаю, что камеры 3 и разрешение хорошее",3.0,и,,1
30,cam,Больше 40,40.0,-,,1
31,cam,Не помню,-,-,,0
32,cam,12,12.0,-,,1
33,cam,10,10.0,-,,1
34,cam,ууу не знаю((,-,-,,0
35,cam,12 мегапикселей,12.0,мегапикселей,,1
36,cam,У моего смартфона 12 Мп на двойной задней камере и 7 Мп на фронтальной камере,7.0,Мп,,1
37,cam,"У меня три основных камеры, если правильно помню, 16, 32 и 48 мегапикселей, а передняя камера в районе 12",12.0,и,,1
38,os,IOS 14,14.0,-,,1
39,os,iOS 13,13.0,-,,1
40,os,9,9.0,-,,1
41,os,Андройд 8.0,8.0,-,,1
42,os,Без понятия,-,-,,0
43,os,Android 4,4.0,-,,1
44,os,Android ,-,-,,0
45,os,13,13.0,-,,1
46,os,Кажется 7й андроид,-,-,,0
47,os,13,13.0,-,,1
48,os,понятия не имею,-,-,,0
49,os,Android 8.0 или 9.0 ,9.0,или,,1
50,os,Тоже не помню:),-,-,,0
51,os,IOS 13.6,13.6,-,,1
52,os,"13,6",13.6,-,,1
53,os,на память не помню 13 кажется ,13.0,кажется,,1
54,os,Android 8.0,8.0,-,,1
55,os,Мой телефон работает на ios,-,-,,0
56,os,"Не знаю, но уверен, что последняя",-,-,,0
57,ram,2 Гб,2.0,Гб,,1
58,ram,Мало,-,-,,0
59,ram,6,6.0,-,,1
60,ram,Всего лишь 3 гб,3.0,гб,,1
61,ram,3 Гб,3.0,Гб,,1
62,ram,не могу знать,-,-,,0
63,ram,4,4.0,-,,1
64,ram,64,64.0,-,,1
65,ram,3 Гб,3.0,Гб,,1
66,ram,2гб,-,-,,0
67,ram,не знаю,-,-,,0
68,ram,4,4.0,-,,1
69,ram,120 гб,120.0,гб,,1
70,ram,2GB,-,-,,0
71,ram,2,2.0,-,,1
72,ram,32Гб,-,-,,0
73,ram,4 Гб,4.0,Гб,,1
74,ram,В моём телефоне 4 Гб оперативки,4.0,Гб,,1
75,ram,6,6.0,-,,1
76,rom,64 Гб,64.0,Гб,,1
77,rom,16 Гб,16.0,Гб,,1
78,rom,128,128.0,-,,1
79,rom,32 гб с возможностью вставить micro sd,32.0,гб,,1
80,rom,128 Гб,128.0,Гб,,1
81,rom,не могу знать,-,-,,0
82,rom,64,64.0,-,,1
83,rom,2t,-,-,,0
84,rom,32 или 64 Гб,64.0,или,,1
85,rom,32гб,-,-,,0
86,rom,128гб,-,-,,0
87,rom,32,32.0,-,,1
88,rom,а это разные вещи?),-,-,,0
89,rom,256Gb,-,-,,0
90,rom,128,128.0,-,,1
91,rom,32 Гб,32.0,Гб,,1
92,rom,64 Гб,64.0,Гб,,1
93,rom,У моего телефона 256 Гб памяти,256.0,Гб,,1
94,rom,128 гб,128.0,гб,,1
95,weight,150 грамм,150.0,грамм,,1
96,weight,Достаточно тяжелый,-,-,,0
97,weight,172,172.0,-,,1
98,weight,"Точно не помню, но телефон легкий ",-,-,,0
99,weight,Нормальный вес,-,-,,0
100,weight,200 фунтов,200.0,фунтов,,1
101,weight,"199,8 Г",199.8,-,,1
102,weight,218 gamm,218.0,gamm,,1
103,weight,Меньше 200 грамм,200.0,грамм,,1
104,weight,-,-,-,,0
105,weight,не знаю,-,-,,0
106,weight,Средний,-,-,,0
107,weight,Не знаю,-,-,,0
108,weight,200g,-,-,,0
109,weight,174 грамма ,174.0,грамма,,1
110,weight,легкий)) не помню,-,-,,0
111,weight,800 грамм,800.0,грамм,,1
112,weight,Мой телефон весит примерно 200 грамм,200.0,грамм,,1
113,weight,По ощущениям грамм 400,400.0,-,,1
114,acc,1800 mah,1800.0,mah,,1
115,acc,Разряжается за несколько часов,-,-,,0
116,acc,3320,3320.0,-,,1
117,acc,3600 мА,3600.0,мА,,1
118,acc,Очень большая по сравнению с обычными телефонами. ,-,-,,0
119,acc,2 часа,2.0,часа,,1
120,acc,4000 мАч,4000.0,мАч,,1
121,acc,9600 mh,9600.0,mh,,1
122,acc,примерно 4500 мач,4500.0,мач,,1
123,acc,-,-,-,,0
124,acc,"не знаю, но сутки в рабочем режиме держит",-,-,,0
125,acc,4000,4000.0,-,,1
126,acc,Без понятия,-,-,,0
127,acc,1600mah,-,-,,0
128,acc,2716 Мач,2716.0,Мач,,1
129,acc,Зарадки хватает на целый день,-,-,,0
130,acc,3200 mA/h,3200.0,mA/h,,1
131,acc,Емкость аккумулятора моего телефона составляет примерно 2650 мАч,2650.0,мАч,,1
132,acc,Вроде бы 400 мАч,400.0,мАч,,1
133,sim,1,1.0,-,,1
134,sim,Одну,-,-,,0
135,sim,2,2.0,-,,1
136,sim,В него можно вставить 2 симкарты,2.0,симкарты,,1
137,sim,Одну,-,-,,0
138,sim,2,2.0,-,,1
139,sim,2,2.0,-,,1
140,sim,4,4.0,-,,1
141,sim,2,2.0,-,,1
142,sim,1,1.0,-,,1
143,sim,1,1.0,-,,1
144,sim,2,2.0,-,,1
145,sim,1,1.0,-,,1
146,sim,1,1.0,-,,1
147,sim,1,1.0,-,,1
148,sim,одну,-,-,,0
149,sim,2 ,2.0,-,,1
150,sim,Мой телефон поддерживает лишь 1 симкарту ,1.0,симкарту,,1
151,sim,2,2.0,-,,1
