Column1,Интент,Текст,Число,Размерность,Ответ
0,diag,5.8,5.8,дюйм,1
1,diag,"Не знаю, но бывает и больше",-,-,0
2,diag,6,6.0,дюйм,1
3,diag,Диагональ экрана 5.7 дюйма,5.7,дюйм,1
4,diag,Не помню точно. Выше среднего.,-,-,0
5,diag,не могу знать,-,-,0
6,diag,"6,3",6.3,дюйм,1
7,diag,Не помню,-,-,0
8,diag,Между 4 и 5 дюймами,5.0,дюйм,1
9,diag,4 дюйма,4.0,дюйм,1
10,diag,6,6.0,дюйм,1
11,diag,6.3,6.3,дюйм,1
12,diag,Не знаю,-,-,0
13,diag,"4,7",4.7,дюйм,1
14,diag,"5,8 ",5.8,дюйм,1
15,diag,не помню)),-,-,0
16,diag,"5,5 дюймов",5.5,дюйм,1
17,diag,"У моего телефона диагональ 6,46 дюймов",6.46,дюйм,1
18,diag,"Ну, приблизительно равная длине моей ладони, а это около 18 см",18.0,см,1
19,diag,"7,5",7.5,дюйм,1
20,diag,"4 дюйма, насколько я помню ",4.0,дюйм,1
21,cam,12,12.0,мегапиксель,1
22,cam,"Не уверен, но снимает неплохо",-,-,0
23,cam,48,48.0,мегапиксель,1
24,cam,Вроде-бы 16,16.0,мегапиксель,1
25,cam,Порядка 11 Мп,11.0,мегапиксель,1
26,cam,не могу знать,-,-,0
27,cam,48 основная камера ,48.0,мегапиксель,1
28,cam,12,12.0,мегапиксель,1
29,cam,Не знаю,-,-,0
30,cam,12,12.0,мегапиксель,1
31,cam,"знаю, что камеры 3 и разрешение хорошее",-,-,0
32,cam,Больше 40,40.0,мегапиксель,1
33,cam,Не помню,-,-,0
34,cam,12,12.0,мегапиксель,1
35,cam,10,10.0,мегапиксель,1
36,cam,ууу не знаю((,-,-,0
37,cam,12 мегапикселей,12.0,мегапиксель,1
38,cam,У моего смартфона 12 Мп на двойной задней камере и 7 Мп на фронтальной камере,7.0,мегапиксель,1
39,cam,"У меня три основных камеры, если правильно помню, 16, 32 и 48 мегапикселей, а передняя камера в районе 12",12.0,мегапиксель,1
40,cam,16,16.0,мегапиксель,1
41,cam,"Не знаю, но меня устраивает ",-,-,0
42,os,IOS 14,14.0,ios,1
43,os,iOS 13,13.0,ios,1
44,os,9,9.0,android,1
45,os,Андройд 8.0,8.0,android,1
46,os,Без понятия,-,-,0
47,os,Android 4,4.0,android,1
48,os,Android ,-,-,0
49,os,13,13.0,android,1
50,os,Кажется 7й андроид,7.0,android,0
51,os,13,13.0,android,1
52,os,понятия не имею,-,-,0
53,os,Android 8.0 или 9.0 ,9.0,android,1
54,os,Тоже не помню:),-,-,0
55,os,IOS 13.6,13.6,ios,1
56,os,"13,6",13.6,ios,1
57,os,на память не помню 13 кажется ,13.0,ios,1
58,os,Android 8.0,8.0,android,1
59,os,Мой телефон работает на ios,-,-,0
60,os,"Не знаю, но уверен, что последняя",-,-,0
61,os,13.4,13.4,ios,1
62,os,Самая последняя ,-,-,0
63,ram,2 Гб,2.0,гигабайт,1
64,ram,Мало,-,-,0
65,ram,6,6.0,гигабайт,1
66,ram,Всего лишь 3 гб,3.0,гигабайт,1
67,ram,3 Гб,3.0,гигабайт,1
68,ram,не могу знать,-,-,0
69,ram,4,4.0,гигабайт,1
70,ram,64,64.0,гигабайт,1
71,ram,3 Гб,3.0,гигабайт,1
72,ram,2гб,-,-,0
73,ram,не знаю,-,-,0
74,ram,4,4.0,гигабайт,1
75,ram,120 гб,120.0,гигабайт,1
76,ram,2GB,-,-,0
77,ram,2,2.0,гигабайт,1
78,ram,32Гб,-,-,0
79,ram,4 Гб,4.0,гигабайт,1
80,ram,В моём телефоне 4 Гб оперативки,4.0,гигабайт,1
81,ram,6,6.0,гигабайт,1
82,ram,4гб,-,-,0
83,ram,"8 гб, насколько я помню ",8.0,гигабайт,1
84,rom,64 Гб,64.0,гигабайт,1
85,rom,16 Гб,16.0,гигабайт,1
86,rom,128,128.0,гигабайт,1
87,rom,32 гб с возможностью вставить micro sd,32.0,гигабайт,1
88,rom,128 Гб,128.0,гигабайт,1
89,rom,не могу знать,-,-,0
90,rom,64,64.0,гигабайт,1
91,rom,2t,-,-,0
92,rom,32 или 64 Гб,64.0,гигабайт,1
93,rom,32гб,-,-,0
94,rom,128гб,-,-,0
95,rom,32,32.0,гигабайт,1
96,rom,а это разные вещи?),-,-,0
97,rom,256Gb,-,-,0
98,rom,128,128.0,гигабайт,1
99,rom,32 Гб,32.0,гигабайт,1
100,rom,64 Гб,64.0,гигабайт,1
101,rom,У моего телефона 256 Гб памяти,256.0,гигабайт,1
102,rom,128 гб,128.0,гигабайт,1
103,rom,32гб,-,-,0
104,rom,64 гб,64.0,гигабайт,1
105,weight,150 грамм,150.0,грамм,1
106,weight,Достаточно тяжелый,-,-,0
107,weight,172,172.0,грамм,1
108,weight,"Точно не помню, но телефон легкий ",-,-,0
109,weight,Нормальный вес,-,-,0
110,weight,200 фунтов,200.0,фунтов,1
111,weight,"199,8 Г",199.8,грамм,1
112,weight,218 gamm,218.0,грамм,1
113,weight,Меньше 200 грамм,200.0,грамм,1
114,weight,-,-,-,0
115,weight,не знаю,-,-,0
116,weight,Средний,-,-,0
117,weight,Не знаю,-,-,0
118,weight,200g,-,-,0
119,weight,174 грамма ,174.0,грамм,1
120,weight,легкий)) не помню,-,-,0
121,weight,800 грамм,800.0,грамм,1
122,weight,Мой телефон весит примерно 200 грамм,200.0,грамм,1
123,weight,По ощущениям грамм 400,400.0,грамм,1
124,weight,200г,-,-,0
